sample	samples	sample_type	TP53	BRCA1	SFRS2	ATF4	SLC7A11	WT1	PBRM1	BAP1	CDH1	CIC	RB1	STK11	SMAD4	NF1
TCGA-BH-A0B8-01	TCGA-BH-A0B8-01	Primary Tumor	0.9074	1.026	-0.2553	0.1195	-0.7652	0.1582	0.6971	-0.8952	2.011	0.04404	-0.3975	9.752	0.4284	0.8637
TCGA-B6-A40C-01	TCGA-B6-A40C-01	Primary Tumor	0.9033	0.759	0.3116	-0.5507	-2.452	4.111	-0.3106	0.2105	-0.02365	0.4483	0.08255	10.66	0.02012	-0.5372
TCGA-A7-A26J-01	TCGA-A7-A26J-01	Primary Tumor	0.9001	1.64	-0.04404	-1.143	-1.61	-1.683	1.254	-0.303	1.822	-0.57	0.6428	9.271	0.7478	1.63
TCGA-BH-A0H3-01	TCGA-BH-A0H3-01	Primary Tumor	0.8965	0.1701	-0.4615	-0.5423	-0.3886	1.76	1.104	-0.127	1.461	-0.3012	0.2681	9.334	0.4878	1.014
TCGA-BH-A0BV-01	TCGA-BH-A0BV-01	Primary Tumor	0.8908	1.005	-0.6693	-1.002	-2.771	-0.8693	1.187	-0.2147	2.771	-0.1693	0.3115	10.01	0.03892	0.7775
TCGA-E9-A1RA-01	TCGA-E9-A1RA-01	Primary Tumor	0.8744	-0.05649	-0.3053	-0.1295	-1.515	-0.7406	0.6352	-0.06102	1.435	0.169	-0.09105	10.44	0.2334	0.04356
TCGA-AC-A8OR-01	TCGA-AC-A8OR-01	Primary Tumor	0.8722	-0.5118	0.03356	0.5284	-0.01496	8.691	-0.3104	0.2482	2.199	0.3605	-0.229	10.57	0.05382	0.003862
TCGA-A2-A1FX-01	TCGA-A2-A1FX-01	Primary Tumor	0.8706	1.804	0.09936	-0.3835	-0.5949	-1.261	0.9409	0.02648	1.27	-0.2402	0.9584	9.86	-0.6038	0.4037
TCGA-D8-A1XR-01	TCGA-D8-A1XR-01	Primary Tumor	0.8626	1.379	-0.5499	-0.01295	-1.149	-1.932	1.478	-0.2315	1.041	-0.02886	0.2469	9.824	0.02762	0.8838
TCGA-E9-A1R3-01	TCGA-E9-A1R3-01	Primary Tumor	0.86	-0.5173	-0.7744	-0.6241	-1.461	1.436	0.7469	-0.3553	2.672	-0.4704	1.095	9.696	0.36	0.5313
TCGA-BH-A0C1-01	TCGA-BH-A0C1-01	Primary Tumor	0.855	0.1147	-0.2039	-0.4863	-0.04726	5.36	1.216	-0.4103	-2.173	0.2366	0.6377	9.901	0.3157	0.2823
TCGA-LL-A5YN-01	TCGA-LL-A5YN-01	Primary Tumor	0.8547	-0.907	0.05356	0.2764	-2.229	1.48	-0.61	0.197	1.234	-0.4178	-1.653	10.51	-0.6615	-1.646
TCGA-E2-A15D-01	TCGA-E2-A15D-01	Primary Tumor	0.8517	-0.1588	-0.7477	-0.683	-1.797	1.64	0.6124	-0.07812	0.9077	0.1186	0.24	9.981	0.8478	0.4853
TCGA-BH-A42U-01	TCGA-BH-A42U-01	Primary Tumor	0.8496	-1.438	0.1252	0.8755	-2.241	-1.051	-0.4254	0.1475	0.9511	0.6176	-0.8215	11.18	0.01142	-0.883
TCGA-AO-A1KO-01	TCGA-AO-A1KO-01	Primary Tumor	0.8476	-0.3904	-0.5923	0.1359	-1.854	-2.515	1.082	-0.5955	1.958	-0.7459	0.8983	8.616	1.14	1.237
